Year,Month,Day,Event
1922,11,09,Albert Einstein Nobel-díjat kap a fényelektromos jelenségről szóló magyarázatáért
1922,12,06,létrejön az Ír Szabad Állam
1922,12,30,létrejön a Szovjetunió
1923,09,13,Miguel Primo de Rivera puccsot hajt végre Spanyolországban
1923,09,29,Palesztína brit mandátumállam lesz
1923,10,29,létrejön a Török Köztársaság
1923,11,08,a müncheni sörpuccs kezdete
1924,01,21,Lenin halála
1925,11,20,Robert F. Kennedy születése
1925,12,01,a Locarno-I szerződés létrejötte
1925,12,12,megnyílik a világ első motele San Luisban
1925,12,19,kirobban a frankhamisítási botrány
1926,10,14,kiadják a Micimackót
1927,10,10,Stromfeld Aurél halála
1928,01,11,Trockijt Kazahsztánba száműzik
1928,11,10,Hirohito japán császár koronázása
1929,10,24,"rekordszámú részvényt adnak el az amerikai tőzsdén, kitör a tőzsdepánik"
1929,10,29,"""Black Tuesday"" az amerikai tőzsdepiacon"
1930,09,01,életbe lép a Young-terv
1930,10,12,megalakul a Független Kisgazdapárt
1931,09,13,Matuska Szilveszter felrobbantja a biatorbágyi viaduktot
1931,09,18,a mukdeni incidens
1931,11,12,megnyílik az Abbey road stúdió Angliában
1931,11,21,mozivászonra kerül a Frankenstein
1932,10,01,Gömbös Gyula alakít kormányt
1932,11,02,az ausztrál emu háború első lövései elsülnek
1932,11,08,Franklin D. Roosevelt nyeri az amerikai elnökválasztást
1932,12,10,véget ér az emu háború Ausztráliában
1932,12,27,Stalin újra bevezeti az internálást
1933,01,05,megkezdődik a Golden Gate híd építése
1934,09,15,a Szovjetunió belép a Népszövetségbe
1934,10,15,megkezdődik a kínai kommunisták hosszú menetelése
1935,09,15,a nürnbergi faji törvények születése
1936,10,25,megszületik a német-olasz tengely
1936,11,02,"a BBC elindítja első TV csatornáját, ami a világon először sugároz rendszeresen"
1936,11,25,Japán és Németország megköti az antikomintern paktumot
1936,12,11,VIII. Edward király lemond a brit trónról
1937,12,13,a nankingi mészárlás kezdete
1938,09,15,Chamberlain Berchtesgadenben tárgyal Hitlerrel
1938,09,30,a müncheni egyezmény aláírása
1938,10,30,marslakók támadják meg az Egyesült Államokat
1938,11,09,a kristályéjszaka
1938,11,10,Musztafa Kemal Atatürk halála
1939,09,01,Németország megtámadja Lengyelországot
1939,09,03,Anglia és Franciaország hadat üzen Németországnak
1939,09,17,szovjet agresszió Lengyelország ellen
1939,09,28,a lengyel hadsereg maradéka leteszi a fegyvert
1939,11,30,megkezdődik a téli háború
1940,09,07,megkezdődik Nagy-Britannia terrorbombázása
1940,09,12,a Lascaux-barlang felfedezése
1940,09,27,a háromhatalmi egyezmény megkötése
1940,10,15,mozivászonra került Charlie Chaplin - A diktátor c. filmje
1940,10,23,Pelé születése
1940,10,28,Mussolini háborút indít Görögország ellen
1940,11,05,Franklin D. Rooseveltet harmadszor választják amerikai elnöknek
1940,11,14,a Luftwaffe elpusztítja Coventry városát
1940,11,27,a román Vasgárda lemészárolja politikai ellenségeit
1940,12,12,a magyar-jugoszláv örök barátsági szerződés megkötése
1941,09,08,megkezdődik Leningrád ostroma
1941,09,19,német csapatok vonulnak be Kijevbe
1941,10,02,megkezdődik a moszkvai csata
1941,10,23,mozivászonra kerül a Dumbo
1941,10,31,befejeződik a Mount Rushmore készítése
1941,12,07,Adolf Hitler kiadja a Nacht un Nebel rendeletet
1941,12,07,Japán rajtaütés Pearl Harbornál
1941,12,11,Németország hadat üzen az USA-nak
1941,12,22,Roosevelt és Churchill Washingtonban tárgyal
1941,12,23,japán győzelem a Wake-szigetcsoportnál 
1942,09,05,Móricz Zsigmond halála
1942,09,13,a 6. német hadsereg Sztálingrádnál eléri a Volgát
1942,10,23,El-Alameinnél a brit páncélosok áttörik a frontot
1942,11,25,Los Alamost választják az atombomba fejlesztésének helyszíneként
1942,11,26,mozivászonra kerül a Casablanca 
1942,11,27,a franciák elsüllyesztik saját flottájukat a Touloni-öbölben
1942,12,24,François Darlan francia admirális meggyilkolása Algiersben
1943,01,17,a Casablancai találkozó Churchill és Roosevelt között
1943,09,12,a németek megszöktetik Benito Mussolinit és Münchenbe szállítják
1943,10,13,Olaszország hadat üzen Németországnak
1943,11,28,megkezdődik a teheráni konferencia
1943,12,24,Dwight D. Eisenhowert nevezik ki az amerikai expedíciós seregek élére
1944,09,06,Németország először használja a V-2 rakátéját 
1944,09,12,az angol-amerikai csapatok átlépik Németország határát
1944,09,23,a szovjet hadsereg Magyarország határához érkezik
1944,10,14,Erwin Rommel öngyilkosságot követ el
1944,10,15,Horthy kiugrási kísérlete
1944,10,21,Japán beveti az első kamikaze egységet
1944,10,23,az amerikai csapatok győzelme a japánok felett Leytenél
1944,11,07,Franklin D. Rooseveltet negyedszer választják az USA elnökének
1944,12,16,elkezdődik a Bastogne-I csata
1944,12,24,Bajcsy-Zsilinszky Endre meggyilkolása
1945,09,02,véget ér a 2. világháború
1945,09,10,halálra ítélik Vidkun Quisling norvég miniszterelnököt
1945,10,24,megalakul az ENSZ
1945,11,20,megkezdődik a nürnbergi per
1945,12,21,George Patton autóbalesetben meghal Németországban
1946,01,18,a budapesti Kossuth híd átadása
1946,10,01,Nürnbergben ítéletet hirdet a Nemzetközi Katonai Törvényszék
1946,10,05,Gróf Bethlen István halála
1946,10,13,elfogadják a Negyedik Francia Köztársaság alkotmányát
1946,11,04,az UNESCO létrejötte
1946,12,11,megalakul az UNICEF
1947,01,25,Al Capone halála
1947,11,29,az ENSZ jóváhagyja Palesztína felosztását
1948,09,09,a Koreai Népi Demokratikus Köztársaság kikiáltása 
1948,11,14,Károly herceg születése
1949,10,07,életbe lép az NDK saját alkotmánya
1950,01,27,India elnyeri függetlenségét a britektől
1950,10,25,Kína belép a koreai háborúba 
1950,11,01,puerto ricoi nacioanlisták merényleti kísérlete Truman elnök ellen
1951,09,01,létrejön az ANZUS paktum
1952,12,05,a nagy londoni szmog
1953,11,25,Magyarország-Anglia 6:3
1954,11,12,az Ellis-szigeti migrációs központ megszűnik New Yorkban
1955,09,19,Juan Domingo Perón argentín elnök megbuktatása
1955,10,25,az első mikrohullámú sütők árulása
1955,10,26,Ausztria belép a semleges államok sorába
1955,11,12,Hajós Alfréd halála
1955,12,01,Rosa Parks nem adja át a helyét a buszon
